story_id,left_perspective,center_perspective,right_perspective
GN_20250825_220131_2c82092c,"A classified Israeli military database shows that 83 percent of Palestinians killed in Gaza are civilians, as reported by The Guardian, +972 Magazine, and Local Call. The database indicates that military casualties have been identified as 8,900 fighters from Hamas and Palestinian Islamic Jihad, according to the same investigation. Conflict researchers state that the ratio of civilian deaths is one of the highest in modern warfare, noted in the findings. The Israeli military did not deny the existence of the intelligence database but disputed the accuracy of the reported figures when questioned.","Figures from a classified Israeli Military Intelligence Directorate database show at least 83% of Palestinians killed were civilians, with Gaza health authorities recording 53,000 deaths by May, the joint investigation found. Despite public statements asserting lower civilian losses, Israeli government and army spokespeople claimed a 1:1 or 2:1 civilian-to-combatant ratio, but the classified database reveals a much higher civilian share. Figures in the database show 8,900 named fighters dead or probably dead, with 7,330 certain and 1,570 probable, while Brik said, `They lie non-stop-both the military echelon and the political echelon`. Rights groups argue the data bolsters genocide claims, while the International Criminal Court has issued arrest warrants for Benjamin Netanyahu and Yoav Gallant over war crimes in Gaza. Experts note an 83% civilian kill rate in Gaza is exceptionally high, comparable only to Srebrenica, Rwanda, and Mariupol, rising to more than 86 percent if probable deaths are excluded; the IDF's massive ordnance has contributed to staggering civilian fatalities.","Israeli military data shows that 83% of the more than 62,100 Palestinians killed in Gaza since October 2023 are civilians, according to a report by the Guardian and others. The investigation indicates that only about 8,900 individuals identified as fighters have died, which is 17% of the total death toll. Therese Pettersson from the Uppsala Conflict Data Program stated that the high civilian death ratio is unusual for modern warfare and has drawn comparisons to notorious conflicts. An IDF spokesperson contested the report's figures, claiming they are incorrect and do not represent IDF data."
GN_20250825_221157_47914c60,"President Donald Trump announced that the U.S. government has acquired a 10% stake in Intel, making it a significant shareholder in the company. This stake comes through converting $11.1 billion in previous government grants, with 433.3 million shares purchased at $20.47 each. Many critics argue that government ownership of Intel blurs the lines between public and private sectors, potentially harming the tech industry. Intel's CEO Lip-Bu Tan expressed gratitude for the confidence placed in the company, promising to advance U.S. technology leadership.","On Friday, President Donald Trump revealed that the U.S. government acquired a 10% ownership share in Intel by obtaining 433.3 million non-voting shares valued at $20.47 each. The stake resulted from converting $11.1 billion in previously allocated government funds and pledges under programs started by the Biden administration to boost domestic chip manufacturing. Intel is a struggling Silicon Valley company led by CEO Lip-Bu Tan, who faced criticism and calls for resignation earlier in August amid concerns over past Chinese investments. Commerce Secretary Howard Lutnick emphasized that the United States should reap the rewards from the agreement, while Tan commended Trump's efforts in fostering significant investments within a key sector. The government's stake, acquired without new spending and without board seats or voting rights, signals hope for Intel's comeback but raises concerns about government influence and industry impacts.","The US government has acquired a 10% stake in Intel Corp. through an $8.9 billion investment, as announced by President Donald Trump. This deal is meant to bolster the domestic semiconductor industry, marking a significant intervention in a private company. Trump stated that this agreement represents a 'multibillion-dollar win for taxpayers' and emphasizes its importance for the future of the country. Commerce Secretary Howard Lutnick clarified that the US government will hold non-voting shares, ensuring no operational control over Intel while aiming for a return on investment."
GN_20250825_221536_9b207e67,"The Promotion and Regulation of Online Gaming Bill, 2025, was passed by the Rajya Sabha on August 21, 2025, after clearance by the Lok Sabha a day earlier. This Bill prohibits online money games in India, with penalties including imprisonment for up to three years and fines up to Rs 1 crore. Union Minister Ashwini Vaishnaw emphasized the Bill's importance, stating it seeks to take strict action against malpractices in society and will not be delayed by ongoing work on other legislation. The law aims to ban real money games, significantly impacting the online gaming industry and affecting companies like Dream11 and MPL.","India's parliament has passed a bill to ban online games played with money, aiming to reduce financial and psychological harm, as noted by the government. The online gaming industry, valued at $3.6 billion by 2029, faces severe disruptions as several companies begin shutting down real-money operations. Dream Sports and Mobile Premier League suspended real-money games following the bill's passage, impacting jobs and services. Prime Minister Narendra Modi stated that the bill aims to promote creativity in gaming while protecting society from the harmful effects of online money games.","The Rajya Sabha passed 'The Promotion and Regulation of Online Gaming Bill' amid opposition protests and disruptions. Union Minister Ashwini Vaishnaw highlighted that the bill's third segment, Online Money Gaming, poses a public health risk affecting 45 crore people. The bill bans online money gaming and establishes a central authority for regulation and oversight. Minister Vaishnaw stated that financial losses from online money gaming are estimated to exceed Rs 30,000 crore."
GN_20250825_221559_a78f7ce6,"An Israeli airstrike on Nasser Hospital in Khan Younis killed at least 20 people, including five journalists, as confirmed by Gaza's health ministry and local news reports. Mariam Dagga, a visual journalist for the Associated Press, was among those killed in the strike, according to health workers. Human rights advocates claimed that targeting journalists violates international humanitarian law, highlighting systemic suppression of media coverage in Gaza. The Israeli military stated it would investigate the incident and regrets any harm to uninvolved individuals, asserting it does not target journalists.","An Israeli airstrike struck Nasser Hospital in Khan Younis, southern Gaza, on Monday, resulting in the deaths of 19 people, including four journalists such as Mariam Dagga, a freelance visual reporter for the Associated Press. The attack occurred amid a 22-month Israel-Hamas war during which at least 192 journalists have been killed in Gaza, while Israel restricts international media access. Journalists, many struggling to find food like the local population, rely heavily on Palestinian reporters amid Israeli claims questioning their affiliations and excluding foreign media. Thibaut Bruttin, head of Reporters Without Borders, described the situation as an unprecedented setback for journalist safety and criticized attempts to suppress independent reporting from Gaza. The strike and ongoing conflict highlight risks for media workers and raise concerns about press freedom and humanitarian conditions, while Israel's military pledged an investigation and denies targeting journalists.","At least 20 Palestinians were killed and several others injured in recent attacks across the Gaza Strip, according to medics. The UN's Integrated Food Security Phase Classification confirmed that famine has begun in northern Gaza and is expected to spread southward. Israel has closed all crossings into Gaza since March 2, blocking humanitarian aid for the 2.4 million residents in the territory."
GN_20250825_221633_3443ccb0,"On Thursday, Toyoake City proposed the Ordinance Regarding the Promotion of Appropriate Use of Smartphones and the Like, recommending residents limit non-work and non-school smartphone use to two hours per day and plans to bring it to a city assembly vote next week. Officials cite health risks such as sleep disturbance, aiming to prevent excessive use of smartphones, personal computers and tablets harming health and family life, Mayor Masafumi Koki said. The draft specifies curfews urging elementary school students to avoid smartphones after 9:00 p.m. and junior high students and older after 10:00 p.m., applying to all Toyoake City's roughly 68,000-plus residents; officials say this is likely Japan's first municipal smartphone limit. Responding to backlash, Mayor Masafumi Koki clarified the two-hour smartphone limit is not mandatory and the guidelines recognize smartphones' usefulness in daily life. The ordinance will be considered by the city assembly next week, with Toyoake planning to collaborate with tech companies, schools and community centers to encourage voluntary adherence while officials note the initiative builds on national efforts and attracts attention from Nigeria.","On Thursday, Toyoake City proposed the Ordinance Regarding the Promotion of Appropriate Use of Smartphones and the Like, recommending residents limit non-work and non-school smartphone use to two hours per day and plans to bring it to a city assembly vote next week. Officials cite health risks such as sleep disturbance, aiming to prevent excessive use of smartphones, personal computers and tablets harming health and family life, Mayor Masafumi Koki said. The draft specifies curfews urging elementary school students to avoid smartphones after 9:00 p.m. and junior high students and older after 10:00 p.m., applying to all Toyoake City's roughly 68,000-plus residents; officials say this is likely Japan's first municipal smartphone limit. Responding to backlash, Mayor Masafumi Koki clarified the two-hour smartphone limit is not mandatory and the guidelines recognize smartphones' usefulness in daily life. The ordinance will be considered by the city assembly next week, with Toyoake planning to collaborate with tech companies, schools and community centers to encourage voluntary adherence while officials note the initiative builds on national efforts and attracts attention from Nigeria.","A Japanese city, Toyoake, proposes a two-hour daily smartphone limit for users outside of work or school, with no penalties for exceeding it. Mayor Masafumi Koki highlighted the proposal's aim to prevent health issues like sleep problems related to excessive device use. The draft recommends elementary students avoid smartphones after 9:00 PM and junior high students after 10:00 PM. If the ordinance is passed next week, it will come into effect in October."
GN_20250825_221748_725c44c9,"Israel denied Barcelona Mayor Jaume Collboni entry, accusing him of defaming Tel Aviv, according to the Population and Immigration Authority. Barcelona's city council suspended ties with Tel Aviv-Jaffa, demanding that Palestinian rights are respected and that international law is upheld. Turkiye mandated that shipping agents confirm vessels have no Israeli links, enforcing new trade restrictions. President Recep Tayyip Erdogan's government accused Israel of committing genocide against Palestinians, a claim that Israel rejects.","Israel denied Barcelona Mayor Jaume Collboni entry, accusing him of defaming Tel Aviv, according to the Population and Immigration Authority. Barcelona's city council suspended ties with Tel Aviv-Jaffa, demanding that Palestinian rights are respected and that international law is upheld. Turkiye mandated that shipping agents confirm vessels have no Israeli links, enforcing new trade restrictions. President Recep Tayyip Erdogan's government accused Israel of committing genocide against Palestinians, a claim that Israel rejects.","Barcelona Mayor Jaume Collboni's request to enter Israel was rejected. This decision follows Collboni's harsh statements against Israel and the city's announcement to sever ties with the State of Israel. The Barcelona City Council decided to freeze the sister city agreement with Tel Aviv, which was signed in 1998. The Population and Immigration Authority stated that the refusal aligns with the Entry to Israel Law."
GN_20250825_221820_31034508,,,
GN_20250825_222158_872e93df,"Kilmar Abrego Garcia was taken into custody by U.S. immigration authorities in Baltimore after reporting for a check-in, facing potential deportation to Uganda. Abrego Garcia was previously wrongfully deported to El Salvador in March, despite a court order preventing his removal due to fears of violence there. His attorney stated that prosecutors are using deportation threats as vindictive measures against him for challenging his charges and deportation. Abrego Garcia's family in Maryland has supported him during this struggle, and he has pledged to continue fighting against his deportation.","Kilmar Abrego Garcia, a Salvadoran citizen, was taken into custody by ICE Monday morning after he appeared at the Baltimore office to complete a routine check-in. His detention came after his release from custody in Tennessee on Friday and his rejection of an offer to plead guilty to human smuggling charges in exchange for removal to Costa Rica. Abrego Garcia faces possible deportation to Uganda, a move his attorneys say is retaliatory and dangerous, while advocacy groups and politicians have condemned the threat. According to official statements, Abrego Garcia is considered a clear threat and faces the choice of pleading guilty or proceeding to trial. The case is intensifying legal battles over deportation procedures and may affect protections requiring 72 hours' notice before removal to a third country like Uganda.","Kilmar Abrego Garcia has been taken into ICE custody in Baltimore and faces possible deportation to Uganda. Garcia, who was previously deported and imprisoned in Uganda, was brought back to the U.S. to face charges related to human trafficking. Sean Hecker, Garcia's lawyer, stated that the arrest was a 'vindictive attack on a man who had the courage to fight back against the administration's continuing assault on the rule of law.' Federal immigration authorities claim that Garcia is a danger to the community and an MS-13 gang member, as articulated by the Trump administration."
GN_20250825_222230_0be9e044,"Advocates are concerned that federal budget cuts could threaten diversity and inclusion initiatives aimed at hiring people with disabilities. Khedr noted that diversity, equity, and inclusion programs are typically the first to be cut during tough times. Only 62% of working-age Canadians with disabilities are employed, compared to 78% of those without disabilities. A spokesperson indicated that issues related to people with disabilities are no longer a priority in cabinet discussions.","Advocates are concerned that federal budget cuts could threaten diversity and inclusion initiatives aimed at hiring people with disabilities. Khedr noted that diversity, equity, and inclusion programs are typically the first to be cut during tough times. Only 62% of working-age Canadians with disabilities are employed, compared to 78% of those without disabilities. A spokesperson indicated that issues related to people with disabilities are no longer a priority in cabinet discussions.","Advocates are concerned that federal budget cuts could threaten diversity and inclusion initiatives aimed at hiring people with disabilities. Khedr noted that diversity, equity, and inclusion programs are typically the first to be cut during tough times. Only 62% of working-age Canadians with disabilities are employed, compared to 78% of those without disabilities. A spokesperson indicated that issues related to people with disabilities are no longer a priority in cabinet discussions."
GN_20250825_222335_a17a0f3d,"On Friday, the Congressional Budget Office reported President Donald Trump's tariff increases will reduce U.S. deficits by $4 Trillion over the next decade. Since January, the administration increased tariff rates on imports from China and Hong Kong by 30 percent, Mexico by 25 percent, and Canada by 35 percent, raising effective U.S. tariffs about 18 percentage points versus last year, CBO said. Through July, the U.S. Treasury reports duties have totaled $136 billion, with $28 billion collected in July, and the Congressional Budget Office projects about $200 billion in customs duties this fiscal year if rates remain unchanged. President Donald Trump hailed the CBO report on Truth Social, celebrating tariffs reducing deficits by $4 Trillion, while the Dow Jones Industrial Average rallied to record highs after Federal Reserve Chair Jerome Powell signaled easing next month. Budget watchdogs warn the estimates face large uncertainties due to timing, exceptions, and ongoing legal challenges, and the CBO will publish its next short-term forecast on September 12.","On Friday, the Congressional Budget Office reported President Donald Trump's tariff increases will reduce U.S. deficits by $4 Trillion over the next decade. Since January, the administration increased tariff rates on imports from China and Hong Kong by 30 percent, Mexico by 25 percent, and Canada by 35 percent, raising effective U.S. tariffs about 18 percentage points versus last year, CBO said. Through July, the U.S. Treasury reports duties have totaled $136 billion, with $28 billion collected in July, and the Congressional Budget Office projects about $200 billion in customs duties this fiscal year if rates remain unchanged. President Donald Trump hailed the CBO report on Truth Social, celebrating tariffs reducing deficits by $4 Trillion, while the Dow Jones Industrial Average rallied to record highs after Federal Reserve Chair Jerome Powell signaled easing next month. Budget watchdogs warn the estimates face large uncertainties due to timing, exceptions, and ongoing legal challenges, and the CBO will publish its next short-term forecast on September 12.","The Congressional Budget Office estimates that President Donald Trump's tariffs will reduce the national deficit by $4 trillion over the next decade. CBO projects that tariff collections will lower primary deficits by $3.3 trillion and save $0.7 trillion in interest payments if current rates persist. As of August, the effective tariff rate on imports has increased by 18 percentage points compared to 2024 trade flows, according to CBO. Trump's tariff strategy continues to draw mixed reactions, with supporters claiming benefits for blue-collar workers while others raise concerns about consumer costs."
GN_20250825_222539_f3791076,"French police arrested a suspect believed to be targeting gay men after four bodies were found in the River Seine, a known gay cruising area. The victims include a 48-year-old French citizen and two men, one Algerian and one Tunisian, both aged 21 and 26. Prosecutors have initiated the first stage in a criminal trial for a man in his 20s of 'unidentified nationality.' The murders are thought to involve serial crimes linked to the victims' perceived sexual orientation.","French police arrested a suspect believed to be targeting gay men after four bodies were found in the River Seine, a known gay cruising area. The victims include a 48-year-old French citizen and two men, one Algerian and one Tunisian, both aged 21 and 26. Prosecutors have initiated the first stage in a criminal trial for a man in his 20s of 'unidentified nationality.' The murders are thought to involve serial crimes linked to the victims' perceived sexual orientation.","French police arrested a suspect believed to be targeting gay men after four bodies were found in the River Seine, a known gay cruising area. The victims include a 48-year-old French citizen and two men, one Algerian and one Tunisian, both aged 21 and 26. Prosecutors have initiated the first stage in a criminal trial for a man in his 20s of 'unidentified nationality.' The murders are thought to involve serial crimes linked to the victims' perceived sexual orientation."
